Back to Content
Table C1.
List of candidate stream member stars from the GDR2 catalogue, having passed all our 7 cuts. They are compatible with the best-fitting phase-space density model of the tidal stream of NGC 3201 and its H–R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
148	5364616737729276928	0.3602	−47.7895	159.6636	−0.6013	7.2650	1.0342	19.2178	4.9192E–03
149	5366070189016080384	0.4429	−47.5857	160.3078	−1.1778	6.6145	1.1561	18.3634	7.2854E–03
150	5366058407925709568	−0.0212	−47.7929	160.3254	−1.1813	6.5427	0.9288	17.8935	7.3902E–03
151	5363031246257881984	0.4249	−48.2777	161.0511	−0.5582	6.8420	0.9608	18.1045	9.4285E–03
152	5363251045501068160	0.3074	−47.6732	163.6266	−1.0451	6.0923	0.9211	17.9304	2.4429E–02
153	5374364767295481856	0.1341	−47.8018	168.1795	−0.4224	4.5801	0.7357	18.7395	1.1996E–02
154	5374570105393379072	0.1369	−47.2856	169.4423	−0.8148	4.3892	1.2607	14.4835	1.2424E–01
155	5373850234514547712	0.2316	−47.6973	171.1533	−0.3389	3.6895	1.0015	19.0083	1.0363E–02
156	5373847481435744512	0.1238	−47.1102	171.3746	−1.1421	3.6006	1.0540	18.0519	9.0333E–03
157	5373628957800529280	0.1411	−47.6738	172.1138	−0.7113	4.0836	0.8235	18.1147	2.4378E–02
158	5375101959778889216	−0.2126	−47.3622	173.2150	−0.5569	3.3159	0.8618	19.1182	9.8719E–03
159	5375091376982888192	0.2061	−47.4674	173.5502	−0.5459	3.5834	0.8895	18.6912	4.3155E–02
160	5372062218149409536	0.1720	−47.9061	174.1886	−0.4939	3.0765	1.0942	19.4563	7.8447E–03
161	5372147915636764544	0.5759	−47.4353	174.6326	−0.5447	3.6150	0.7032	19.3034	9.9653E–03
162	5371948693572713856	−0.0380	−47.4375	175.3823	−1.2254	2.8094	0.9519	19.9073	7.7881E–03
163	5372345617270244480	0.0380	−46.9986	175.7310	−1.5697	3.1700	1.2063	20.0780	8.1299E–03
164	5372254082932197248	0.2239	−47.7630	176.1961	−0.4725	3.3897	1.0882	19.2860	2.2251E–02
165	5372296551563595520	−0.2300	−47.1799	176.3097	−0.4701	3.3724	0.9962	19.5314	2.4790E–02
166	5372386608438137600	−0.2060	−46.9739	176.5707	−1.1318	3.1125	1.0581	19.7879	4.4448E–02
167	5372378877496792064	−0.0659	−47.1248	176.6575	−1.2263	3.3820	0.7079	19.4287	1.3672E–02
168	5371655196988321152	0.7329	−46.8830	177.0731	−0.5633	3.7295	0.7188	20.2820	1.4290E–02
169	5377605302940159232	0.5001	−46.8489	177.7541	−0.1653	3.7658	0.9804	20.0362	1.3828E–02
170	5377724707328398592	0.3648	−46.4346	178.2477	−1.0006	3.7925	0.8342	20.0085	8.0794E–03
